,T1566,T1047,T1053,T1059,T1106,T1204,T1543,T1547,T1027,T1036,T1055,T1070,T1112,T1140,T1218,T1497,T1562,T1564,T1012,T1016,T1033,T1057,T1082,T1083,T1518,T1005,T1056,T1113,T1560,T1071,T1090,T1105,T1132,T1573,T1041
T1140,0,0,0,168.0,0,0,0,0,191.0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.0,0,0,0,0,0,0,148.0,0,168.0,0,0,0
T1218,0,0,0,110.0,0,0,0,80.0,105.0,0,0,73.0,0,0,0,0,0,0,0,0,0,0,86.0,0,0,0,0,0,0,84.0,0,99.0,0,0,0
T1497,0,0,0,0,0,0,0,0,76.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,0,0,0
T1562,0,0,0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1564,0,0,0,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,0,0,0
T1012,0,0,0,77.0,0,0,0,0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0,0,0,0,0,0,0,72.0,0,0,0,0,0
T1016,0,0,0,163.0,0,0,0,0,154.0,0,0,119.99999999999999,0,0,0,0,0,0,0,0,124.00000000000001,127.0,185.99999999999997,125.0,0,0,0,0,0,145.0,0,165.0,0,0,0
T1033,0,0,0,145.0,0,0,0,0,124.00000000000001,0,0,109.0,0,0,0,0,0,0,0,124.00000000000001,0,108.0,166.0,0,0,0,0,0,0,138.0,0,152.0,0,0,0
T1057,0,0,0,176.0,0,0,0,0,165.0,0,0,134.0,0,0,0,0,0,0,0,127.0,0,0,183.0,160.0,0,0,0,0,0,150.0,0,166.0,0,0,0
T1082,0,0,0,247.0,0,0,0,0,220.0,0,0,180.0,0,0,0,0,0,0,0,185.99999999999997,0,183.0,0,196.0,0,0,0,0,0,207.0,0,249.0,0,0,0
T1083,0,0,0,192.0,0,0,0,0,171.0,0,0,156.0,0,0,0,0,0,0,0,0,0,160.0,196.0,0,0,0,0,0,0,170.0,0,189.0,0,0,0
T1518,0,0,0,94.0,0,0,0,0,92.0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,103.0,0,0,0,0,0,0,79.0,0,98.0,0,0,0
T1005,0,0,0,134.0,0,0,0,0,110.0,0,0,96.0,0,0,0,0,0,0,0,0,0,0,110.99999999999999,112.99999999999999,0,0,0,0,0,117.0,0,134.0,0,0,0
T1056,0,0,0,109.0,0,0,0,83.0,92.99999999999999,0,0,83.0,0,0,0,0,0,0,0,0,0,82.0,98.0,88.0,0,0,0,84.0,0,91.0,0,103.0,0,0,0
T1113,0,0,0,101.0,0,0,0,76.0,88.0,0,0,78.0,0,0,0,0,0,0,0,0,0,82.0,96.0,90.0,0,0,84.0,0,0,88.0,0,103.0,0,0,0
T1560,0,0,0,82.0,0,0,0,0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,73.0,0,0,0,0,0,76.0,0,78.0,0,0,0
T1071,0,0,0,246.0,0,0,0,0,229.0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.0,0,0,0,0,0,0,0,0,252.99999999999997,0,0,0
T1090,0,0,0,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1105,0,0,0,299.0,0,0,0,0,270.0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.0,0,0,0,0,0,0,252.99999999999997,0,0,0,0,0
T1132,0,0,0,90.0,0,0,0,0,74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,0,0,0,0,0,0,90.0,0,83.0,0,0,0
T1573,0,0,0,139.0,0,0,0,0,121.99999999999999,0,0,100.0,0,0,0,0,0,0,0,99.0,0,0,119.0,0,0,0,0,0,0,133.0,0,138.0,0,0,0
T1041,0,0,0,110.99999999999999,0,0,0,0,97.0,0,0,80.0,0,74.0,0,0,0,0,0,74.0,74.0,73.0,110.99999999999999,89.0,0,76.0,0,0,0,114.0,0,110.99999999999999,0,0,0
