Id,T1566,T1047,T1053,T1059,T1106,T1204,T1543,T1547,T1027,T1036,T1055,T1070,T1112,T1140,T1218,T1497,T1562,T1564,T1012,T1016,T1033,T1057,T1082,T1083,T1518,T1005,T1056,T1113,T1560,T1071,T1090,T1105,T1132,T1573,T1041
T1140,0,0,0,0.724137931,0,0,0,0,0.823275862,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607758621,0,0,0,0,0,0,0.637931034,0,0.724137931,0,0,0
T1218,0,0,0,0.808823529,0,0,0,0.588235294,0.772058824,0,0,0.536764706,0,0,0,0,0,0,0,0,0,0,0.632352941,0,0,0,0,0,0,0.617647059,0,0.727941176,0,0,0
T1497,0,0,0,0,0,0,0,0,0.826086957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793478261,0,0,0
T1562,0,0,0,0.792079208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1564,0,0,0,0.756756757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675675676,0,0,0
T1012,0,0,0,0.754901961,0,0,0,0,0.735294118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.745098039,0,0,0,0,0,0,0.705882353,0,0,0,0,0
T1016,0,0,0,0.690677966,0,0,0,0,0.652542373,0,0,0.508474576,0,0,0,0,0,0,0,0,0.525423729,0.538135593,0.788135593,0.529661017,0,0,0,0,0,0.61440678,0,0.699152542,0,0,0
T1033,0,0,0,0.736040609,0,0,0,0,0.629441624,0,0,0.553299492,0,0,0,0,0,0,0,0.629441624,0,0.54822335,0.842639594,0,0,0,0,0,0,0.700507614,0,0.771573604,0,0,0
T1057,0,0,0,0.701195219,0,0,0,0,0.657370518,0,0,0.533864542,0,0,0,0,0,0,0,0.505976096,0,0,0.729083665,0.637450199,0,0,0,0,0,0.597609562,0,0.661354582,0,0,0
T1082,0,0,0,0.705714286,0,0,0,0,0.628571429,0,0,0.514285714,0,0,0,0,0,0,0,0.531428571,0,0.522857143,0,0.56,0,0,0,0,0,0.591428571,0,0.711428571,0,0,0
T1083,0,0,0,0.671328671,0,0,0,0,0.597902098,0,0,0.545454545,0,0,0,0,0,0,0,0,0,0.559440559,0.685314685,0,0,0,0,0,0,0.594405594,0,0.660839161,0,0,0
T1518,0,0,0,0.74015748,0,0,0,0,0.724409449,0,0,0,0,0,0,0,0,0,0,0,0,0.582677165,0.811023622,0,0,0,0,0,0,0.622047244,0,0.771653543,0,0,0
T1005,0,0,0,0.752808989,0,0,0,0,0.617977528,0,0,0.539325843,0,0,0,0,0,0,0,0,0,0,0.623595506,0.634831461,0,0,0,0,0,0.657303371,0,0.752808989,0,0,0
T1056,0,0,0,0.726666667,0,0,0,0.553333333,0.62,0,0,0.553333333,0,0,0,0,0,0,0,0,0,0.546666667,0.653333333,0.586666667,0,0,0,0.56,0,0.606666667,0,0.686666667,0,0,0
T1113,0,0,0,0.696551724,0,0,0,0.524137931,0.606896552,0,0,0.537931034,0,0,0,0,0,0,0,0,0,0.565517241,0.662068966,0.620689655,0,0,0.579310345,0,0,0.606896552,0,0.710344828,0,0,0
T1560,0,0,0,0.661290323,0,0,0,0,0.64516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60483871,0.588709677,0,0,0,0,0,0.612903226,0,0.629032258,0,0,0
T1071,0,0,0,0.70487106,0,0,0,0,0.656160458,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593123209,0,0,0,0,0,0,0,0,0.724928367,0,0,0
T1090,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1105,0,0,0,0.717026379,0,0,0,0,0.647482014,0,0,0,0,0,0,0,0,0,0,0,0,0,0.597122302,0,0,0,0,0,0,0.606714628,0,0,0,0,0
T1132,0,0,0,0.818181818,0,0,0,0,0.672727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0.718181818,0,0,0,0,0,0,0.818181818,0,0.754545455,0,0,0
T1573,0,0,0,0.723958333,0,0,0,0,0.635416667,0,0,0.520833333,0,0,0,0,0,0,0,0.515625,0,0,0.619791667,0,0,0,0,0,0,0.692708333,0,0.71875,0,0,0
T1041,0,0,0,0.781690141,0,0,0,0,0.683098592,0,0,0.563380282,0,0.521126761,0,0,0,0,0,0.521126761,0.521126761,0.514084507,0.781690141,0.626760563,0,0.535211268,0,0,0,0.802816901,0,0.781690141,0,0,0
